,,,SSR,SRR,cost,shift,scale
faks0,0.0,0.2214346357779824,15.204240555412307,80.0,2.3998413203343198e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.40593800248928424, 0.40593800248928424], [0.5789769754791718, 0.5789769754791717]]"
faks0,0.0,0.6654842383978488,5.734541550939229,80.0,1.573973751497488e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.18364692106281508, 0.18364692106281505], [0.6828424477023585, 0.6828424477023584]]"
faks0,0.5,-0.16548423839784843,5.734541550939234,80.0,4.133271268335192e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.3033867011550397, 0.7324402885721296], [0.23324476193258653, 0.5631026676101341]]"
faks0,0.5,0.27856536422201783,15.20424055541233,80.0,4.7123200719101865e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.2054159746827335, 0.49591803200714346], [0.3228790590172563, 0.7794990032857227]]"
faks0,0.5,0.4263193700271923,24.752347761002504,80.0,5.986873945720456e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.166649702832406, 0.40232797274344045], [0.3444916340821602, 0.8316763751252204]]"
faks0,0.5,0.4754833510389362,34.309114384379065,80.0,6.354815861534543e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.15322682831252726, 0.36992228703151697], [0.3506681458188205, 0.8465877935280224]]"
faks0,0.5,0.49184227826903953,43.86683949008621,80.0,5.7719158894467625e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.1487088257402394, 0.35901486394666304], [0.3526078481169773, 0.8512706491231989]]"
faks0,0.5,0.4972855823834051,53.42467071313828,80.0,5.978961802637216e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.14720001601882216, 0.3553722750541772], [0.3532403780583199, 0.8527977114861952]]"
faks0,0.5,0.4990967989298633,62.98251368517626,80.0,5.902671426388518e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.1466973735780612, 0.3541587888566678], [0.3534494164544977, 0.8533023748173042]]"
faks0,0.5,0.49969946696185996,72.54035795803442,80.0,5.012202938239488e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.1465300573956085, 0.35375485185978595], [0.35351881376578237, 0.8534699147474]]"
